AppName,RelPath,File,SourceCategory,SourceKind,Line,Func,QueryHash,ObjectName,DbName,SchemaName,BaseName,IsCrossDb,IsLinkedServer,Role,DmlKind,IsWrite,IsObjectNameDynamic,IsPseudoObject,PseudoKind
dotnet-sample,clsAntasenaService.cs,clsAntasenaService.cs,code,csharp,426,InsertForm42ByTran,b081246b00de179ccdff49c9fc8dca8b51cee25f,dbo.<dynamic-object>,,dbo,<dynamic-object>,false,false,mixed,INSERT;SELECT,true,true,true,dynamic-object
dotnet-sample,clsAntasenaService.cs,clsAntasenaService.cs,code,csharp,426,InsertForm42ByTran,b081246b00de179ccdff49c9fc8dca8b51cee25f,dbo.VLSResultFinalToday_TT,,dbo,VLSResultFinalToday_TT,false,false,source,SELECT,false,false,false,
dotnet-sample,clsAntasenaService.cs,clsAntasenaService.cs,code,csharp,426,InsertForm42ByTran,b081246b00de179ccdff49c9fc8dca8b51cee25f,dbo.VLSSummaryToday_TM,,dbo,VLSSummaryToday_TM,false,false,source,SELECT,false,false,false,
dotnet-sample,clsAntasenaService.cs,clsAntasenaService.cs,code,csharp,426,InsertForm42ByTran,b081246b00de179ccdff49c9fc8dca8b51cee25f,dbo.VLSTransactionsToday_TR,,dbo,VLSTransactionsToday_TR,false,false,source,SELECT,false,false,false,
dotnet-sample,clsAntasenaService.cs,clsAntasenaService.cs,code,csharp,426,InsertForm42ByTran,b081246b00de179ccdff49c9fc8dca8b51cee25f,dbo.eq,,dbo,eq,false,false,source,SELECT,false,false,false,
dotnet-sample,clsAntasenaService.cs,clsAntasenaService.cs,code,csharp,566,SqlParameter,b081246b00de179ccdff49c9fc8dca8b51cee25f,dbo.<dynamic-object>,,dbo,<dynamic-object>,false,false,mixed,INSERT;SELECT,true,true,true,dynamic-object
dotnet-sample,clsAntasenaService.cs,clsAntasenaService.cs,code,csharp,566,SqlParameter,b081246b00de179ccdff49c9fc8dca8b51cee25f,dbo.VLSResultFinalToday_TT,,dbo,VLSResultFinalToday_TT,false,false,source,SELECT,false,false,false,
dotnet-sample,clsAntasenaService.cs,clsAntasenaService.cs,code,csharp,566,SqlParameter,b081246b00de179ccdff49c9fc8dca8b51cee25f,dbo.VLSSummaryToday_TM,,dbo,VLSSummaryToday_TM,false,false,source,SELECT,false,false,false,
dotnet-sample,clsAntasenaService.cs,clsAntasenaService.cs,code,csharp,566,SqlParameter,b081246b00de179ccdff49c9fc8dca8b51cee25f,dbo.VLSTransactionsToday_TR,,dbo,VLSTransactionsToday_TR,false,false,source,SELECT,false,false,false,
dotnet-sample,clsAntasenaService.cs,clsAntasenaService.cs,code,csharp,566,SqlParameter,b081246b00de179ccdff49c9fc8dca8b51cee25f,dbo.eq,,dbo,eq,false,false,source,SELECT,false,false,false,
dotnet-sample,clsDataAccess1.cs,clsDataAccess1.cs,code,csharp,124,InvestorPopulateRegData,8bbe98875327365fe3e7cc033498cf64cc01e500,dbo.SBNSchedPopulateRegInvestor,,dbo,SBNSchedPopulateRegInvestor,false,false,exec,EXEC,true,false,false,
