AppName,RelPath,File,Func,QueryHash,FullObjectName,DbName,SchemaName,BaseName,Role,DmlKind,IsWrite,IsCrossDb,IsPseudoObject,PseudoKind,SourceCategory,SourceKind,Line,IsLinkedServer,IsObjectNameDynamic
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetNameAndJobTitleByNIK,f3860bd8363f4c1b31aa319f192df22b84c49621,SQL_Employee.dbo.PSEmployee_v,SQL_Employee,dbo,PSEmployee_v,source,SELECT,false,true,false,,code,go,570,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,InsertBancaMTranAAJIAAUITT,68bbb2b9093185475eae1ddf3089713754aa786c,dbo.BancaMTranAAJIAAUI_TT,,dbo,BancaMTranAAJIAAUI_TT,exec,EXEC;INSERT,true,false,false,,code,go,610,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,PopulateDataFromBancaNoAAUITMAndBancaNoAAUITM,cf22b07fa7b6a08ed378741ad716ad3cbd80e333,dbo.BancaNoAAJI_TM,,dbo,BancaNoAAJI_TM,source,SELECT,false,false,false,,code,go,63,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,PopulateDataFromBancaNoAAUITMAndBancaNoAAUITM,cf22b07fa7b6a08ed378741ad716ad3cbd80e333,dbo.BancaNoAAUI_TM,,dbo,BancaNoAAUI_TM,source,SELECT,false,false,false,,code,go,63,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,UpdateBatchCode,40e6cee30f138879b9bbf765034eecbe38509830,dbo.BancaMTranAAJIAAUI_TT,,dbo,BancaMTranAAJIAAUI_TT,target,UPDATE,true,false,false,,code,go,630,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,dateadd,41a812fb9c3eb3d6aa3702815bb7fc8d118744c7,dbo.BancaNoAAJI_TM,,dbo,BancaNoAAJI_TM,source,SELECT,false,false,false,,code,go,100,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,dateadd,41a812fb9c3eb3d6aa3702815bb7fc8d118744c7,dbo.BancaNoAAUI_TM,,dbo,BancaNoAAUI_TM,source,SELECT,false,false,false,,code,go,100,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,dateadd,72ddba4adcb68f8dcfc1051e3f587611813f41fd,dbo.BancaNoAAJI_TM,,dbo,BancaNoAAJI_TM,source,SELECT,false,false,false,,code,go,158,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,dateadd,72ddba4adcb68f8dcfc1051e3f587611813f41fd,dbo.BancaNoAAUI_TM,,dbo,BancaNoAAUI_TM,source,SELECT,false,false,false,,code,go,158,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,dateadd,8594b37a90090ac9fe85b2a291a6b0de2d13af73,dbo.BancaMTranAAJIAAUI_TT,,dbo,BancaMTranAAJIAAUI_TT,target,DELETE,true,false,false,,code,go,218,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,dateadd,4b9a303582b4b4c3d18e0003684205396626dc65,dbo.PSEmployee_v,,dbo,PSEmployee_v,source,SELECT,false,false,false,,code,go,227,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,go3/aajiQueries.sql.go@L16,cf22b07fa7b6a08ed378741ad716ad3cbd80e333,dbo.BancaNoAAJI_TM,,dbo,BancaNoAAJI_TM,source,SELECT,false,false,false,,code,go,16,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,go3/aajiQueries.sql.go@L16,cf22b07fa7b6a08ed378741ad716ad3cbd80e333,dbo.BancaNoAAUI_TM,,dbo,BancaNoAAUI_TM,source,SELECT,false,false,false,,code,go,16,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,go3/aajiQueries.sql.go@L254,fd1a1930e24a57581233cced7b600fb3a7532586,dbo.BancaNoAAUI_TM,,dbo,BancaNoAAUI_TM,source,SELECT,false,false,false,,code,go,254,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,go3/aajiQueries.sql.go@L281,6a9b6cbbda4215209f8e66506e51c4599a944c83,dbo.BancaMTranAAJIAAUI_TT,,dbo,BancaMTranAAJIAAUI_TT,source,SELECT,false,false,false,,code,go,281,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,go3/aajiQueries.sql.go@L308,38b49f9e9e79067f1a6393fd7ddfa549edd71110,dbo.BancaMTranAAJIAAUI_TT,,dbo,BancaMTranAAJIAAUI_TT,source,SELECT,false,false,false,,code,go,308,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,go3/aajiQueries.sql.go@L340,1e9fc266b76447f90ff40fafeb8833fb11a623cf,dbo.BancaMTranAAJIAAUI_TT,,dbo,BancaMTranAAJIAAUI_TT,source,SELECT,false,false,false,,code,go,340,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,go3/aajiQueries.sql.go@L372,358565cf171c294ee28871df70e810d17a108710,dbo.BancaNoAAJI_TM,,dbo,BancaNoAAJI_TM,source,SELECT,false,false,false,,code,go,372,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,go3/aajiQueries.sql.go@L372,358565cf171c294ee28871df70e810d17a108710,dbo.BancaNoAAUI_TM,,dbo,BancaNoAAUI_TM,source,SELECT,false,false,false,,code,go,372,false,false
