AppName,RelPath,Func,LineStart,LineEnd,TotalQueries,TotalSelect,TotalInsert,TotalUpdate,TotalDelete,TotalTruncate,TotalExec,TotalWrite,TotalDynamic,TotalDynamicSql,TotalDynamicObject,DynamicCount,DynamicSignatures,DynamicReason,TotalObjects,TopObjects,ObjectsUsed,HasCrossDb,DbList,TopObjectsShort,DynamicPseudoKinds,DynamicExampleSignatures
golang-sample,go2/impl.go,GetValasMappingParameter,52,52,1,1,0,0,0,0,0,0,0,0,0,0,,,1,valas_mapping_parameter(read),valas_mapping_parameter(exec/write/read),false,,valas_mapping_parameter(read),,
golang-sample,go2/impl.go,GetVlsRate,69,69,1,1,0,0,0,0,0,0,0,0,0,0,,,1,VLSRate_TM(read),VLSRate_TM(exec/write/read),false,,VLSRate_TM(read),,
golang-sample,go2/impl.go,GetVlsTransaction,87,98,2,2,0,0,0,0,0,0,0,0,0,0,,,2,VLSTransactions_TR(read); VLSTransactionsToday_TR(read),VLSTransactions_TR(exec/write/read); VLSTransactionsToday_TR(exec/write/read),false,,VLSTransactions_TR(read); VLSTransactionsToday_TR(read),,
golang-sample,go2/query.go,TRIM,14,20,2,2,0,0,0,0,0,0,0,0,0,0,,,2,SIBSCurrencyTable_TM(read); VLSTransactions_TR(read),SIBSCurrencyTable_TM(exec/write/read); VLSTransactions_TR(exec/write/read),false,,SIBSCurrencyTable_TM(read); VLSTransactions_TR(read),,
golang-sample,go2/query.go,go2/query.go@L3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,,,1,control_table(read),control_table(exec/write/read),false,,control_table(read),,
golang-sample,go2/query.go,go2/query.go@L36,36,36,1,1,0,0,0,0,0,0,0,0,0,0,,,1,VLSTransactionsToday_TR(read),VLSTransactionsToday_TR(exec/write/read),false,,VLSTransactionsToday_TR(read),,
golang-sample,go2/query.go,go2/query.go@L8,8,8,1,1,0,0,0,0,0,0,0,0,0,0,,,1,CFMAST(read),CFMAST(exec/write/read),false,,CFMAST(read),,
golang-sample,go3/aajiQueries.sql.go,BancaMTranAAJIAAUI_TT,621,621,1,0,0,1,0,0,0,1,0,0,0,0,,,1,BancaMTranAAJIAAUI_TT(write),BancaMTranAAJIAAUI_TT(exec/write/read),false,,BancaMTranAAJIAAUI_TT(write),,
golang-sample,go3/aajiQueries.sql.go,CheckNIKIfNotRegisterOnPeopleSoftFromPSEmployeev,229,229,1,1,0,0,0,0,0,0,0,0,0,0,,,1,PSEmployee_v(read),PSEmployee_v(exec/write/read),false,,PSEmployee_v(read),,
golang-sample,go3/aajiQueries.sql.go,CheckNIKIsRegisterFromBancaNoAAJITM,256,256,1,1,0,0,0,0,0,0,0,0,0,0,,,1,BancaNoAAUI_TM(read),BancaNoAAUI_TM(exec/write/read),false,,BancaNoAAUI_TM(read),,
golang-sample,go3/aajiQueries.sql.go,CheckTransactionIsExistByNIKANDStatusFromBancaMTranAAJIAAUITT,283,283,1,1,0,0,0,0,0,0,0,0,0,0,,,1,BancaMTranAAJIAAUI_TT(read),BancaMTranAAJIAAUI_TT(exec/write/read),false,,BancaMTranAAJIAAUI_TT(read),,
golang-sample,go3/aajiQueries.sql.go,DeleteBatchIdFromBancaMTranAAJIAAUITT,220,220,1,0,0,0,1,0,0,1,0,0,0,0,,,1,BancaMTranAAJIAAUI_TT(write),BancaMTranAAJIAAUI_TT(exec/write/read),false,,BancaMTranAAJIAAUI_TT(write),,
golang-sample,go3/aajiQueries.sql.go,GetAAJIFromBancaMTranAAJIAAUITTByNIKANDStatus,315,315,1,1,0,0,0,0,0,0,0,0,0,0,,,1,BancaMTranAAJIAAUI_TT(read),BancaMTranAAJIAAUI_TT(exec/write/read),false,,BancaMTranAAJIAAUI_TT(read),,
golang-sample,go3/aajiQueries.sql.go,GetAAUIFromBancaMTranAAJIAAUITTByNIKANDStatus,347,347,1,1,0,0,0,0,0,0,0,0,0,0,,,1,BancaMTranAAJIAAUI_TT(read),BancaMTranAAJIAAUI_TT(exec/write/read),false,,BancaMTranAAJIAAUI_TT(read),,
golang-sample,go3/aajiQueries.sql.go,GetBancaNoAAJITMByDate,393,393,1,1,0,0,0,0,0,0,0,0,0,0,,,2,BancaNoAAJI_TM(read); BancaNoAAUI_TM(read),BancaNoAAJI_TM(exec/write/read); BancaNoAAUI_TM(exec/write/read),false,,BancaNoAAJI_TM(read); BancaNoAAUI_TM(read),,
golang-sample,go3/aajiQueries.sql.go,GetBancaNoAAJITMByNIKDate,450,450,1,1,0,0,0,0,0,0,0,0,0,0,,,2,BancaNoAAJI_TM(read); BancaNoAAUI_TM(read),BancaNoAAJI_TM(exec/write/read); BancaNoAAUI_TM(exec/write/read),false,,BancaNoAAJI_TM(read); BancaNoAAUI_TM(read),,
golang-sample,go3/aajiQueries.sql.go,GetDataFromAAJITM,123,123,1,1,0,0,0,0,0,0,0,0,0,0,,,2,BancaNoAAJI_TM(read); BancaNoAAUI_TM(read),BancaNoAAJI_TM(exec/write/read); BancaNoAAUI_TM(exec/write/read),false,,BancaNoAAJI_TM(read); BancaNoAAUI_TM(read),,
golang-sample,go3/aajiQueries.sql.go,GetDataFromAAUITM,183,183,1,1,0,0,0,0,0,0,0,0,0,0,,,2,BancaNoAAJI_TM(read); BancaNoAAUI_TM(read),BancaNoAAJI_TM(exec/write/read); BancaNoAAUI_TM(exec/write/read),false,,BancaNoAAJI_TM(read); BancaNoAAUI_TM(read),,
golang-sample,go3/aajiQueries.sql.go,GetLastInsertedBatchId,487,487,1,0,0,0,0,0,1,1,0,0,0,0,,,1,BancaMTranAAJIAAUI_TT(exec),BancaMTranAAJIAAUI_TT(exec/write/read x2),false,,BancaMTranAAJIAAUI_TT(exec),,
golang-sample,go3/aajiQueries.sql.go,GetNIKFromBancaNoAAJITMByAAUIANDNIK,503,503,1,1,0,0,0,0,0,0,0,0,0,0,,,1,BancaNoAAUI_TM(read),BancaNoAAUI_TM(exec/write/read),false,,BancaNoAAUI_TM(read),,
golang-sample,go3/aajiQueries.sql.go,GetNIKFromBancaNoAAUITMByAAJIANDNIK,535,535,1,1,0,0,0,0,0,0,0,0,0,0,,,1,BancaNoAAJI_TM(read),BancaNoAAJI_TM(exec/write/read),false,,BancaNoAAJI_TM(read),,
golang-sample,go3/aajiQueries.sql.go,GetNameAndJobTitleByNIK,567,567,1,1,0,0,0,0,0,0,0,0,0,0,,,1,PSEmployee_v(read),PSEmployee_v(exec/write/read),true,SQL_Employee,PSEmployee_v(read),,
golang-sample,go3/aajiQueries.sql.go,InsertBancaMTranAAJIAAUITT,607,617,1,0,0,0,0,0,1,1,0,0,0,0,,,1,BancaMTranAAJIAAUI_TT(exec),BancaMTranAAJIAAUI_TT(exec/write/read x2),false,,BancaMTranAAJIAAUI_TT(exec),,
golang-sample,go3/aajiQueries.sql.go,PopulateDataFromBancaNoAAUITMAndBancaNoAAUITM,60,65,1,1,0,0,0,0,0,0,0,0,0,0,,,2,BancaNoAAJI_TM(read); BancaNoAAUI_TM(read),BancaNoAAJI_TM(exec/write/read); BancaNoAAUI_TM(exec/write/read),false,,BancaNoAAJI_TM(read); BancaNoAAUI_TM(read),,
golang-sample,go3/aajiQueries.sql.go,UpdateBatchCode,627,627,1,0,0,1,0,0,0,1,0,0,0,0,,,1,BancaMTranAAJIAAUI_TT(write),BancaMTranAAJIAAUI_TT(exec/write/read),false,,BancaMTranAAJIAAUI_TT(write),,
golang-sample,go3/aajiQueries.sql.go,dateadd,97,224,4,3,0,0,1,0,0,1,0,0,0,0,,,4,BancaMTranAAJIAAUI_TT(write); BancaNoAAJI_TM(read); BancaNoAAUI_TM(read); PSEmployee_v(read),BancaMTranAAJIAAUI_TT(exec/write/read); BancaNoAAJI_TM(exec/write/read); BancaNoAAUI_TM(exec/write/read); PSEmployee_v(exec/write/read),false,,BancaMTranAAJIAAUI_TT(write); BancaNoAAJI_TM(read); BancaNoAAUI_TM(read); PSEmployee_v(read),,
golang-sample,go3/aajiQueries.sql.go,go3/aajiQueries.sql.go@L13,13,13,1,1,0,0,0,0,0,0,0,0,0,0,,,2,BancaNoAAJI_TM(read); BancaNoAAUI_TM(read),BancaNoAAJI_TM(exec/write/read); BancaNoAAUI_TM(exec/write/read),false,,BancaNoAAJI_TM(read); BancaNoAAUI_TM(read),,
golang-sample,go3/aajiQueries.sql.go,go3/aajiQueries.sql.go@L251,251,251,1,1,0,0,0,0,0,0,0,0,0,0,,,1,BancaNoAAUI_TM(read),BancaNoAAUI_TM(exec/write/read),false,,BancaNoAAUI_TM(read),,
golang-sample,go3/aajiQueries.sql.go,go3/aajiQueries.sql.go@L278,278,278,1,1,0,0,0,0,0,0,0,0,0,0,,,1,BancaMTranAAJIAAUI_TT(read),BancaMTranAAJIAAUI_TT(exec/write/read),false,,BancaMTranAAJIAAUI_TT(read),,
golang-sample,go3/aajiQueries.sql.go,go3/aajiQueries.sql.go@L305,305,305,1,1,0,0,0,0,0,0,0,0,0,0,,,1,BancaMTranAAJIAAUI_TT(read),BancaMTranAAJIAAUI_TT(exec/write/read),false,,BancaMTranAAJIAAUI_TT(read),,
golang-sample,go3/aajiQueries.sql.go,go3/aajiQueries.sql.go@L337,337,337,1,1,0,0,0,0,0,0,0,0,0,0,,,1,BancaMTranAAJIAAUI_TT(read),BancaMTranAAJIAAUI_TT(exec/write/read),false,,BancaMTranAAJIAAUI_TT(read),,
golang-sample,go3/aajiQueries.sql.go,go3/aajiQueries.sql.go@L369,369,369,1,1,0,0,0,0,0,0,0,0,0,0,,,2,BancaNoAAJI_TM(read); BancaNoAAUI_TM(read),BancaNoAAJI_TM(exec/write/read); BancaNoAAUI_TM(exec/write/read),false,,BancaNoAAJI_TM(read); BancaNoAAUI_TM(read),,
golang-sample,go3/aajiQueries.sql.go,go3/aajiQueries.sql.go@L425,425,425,1,1,0,0,0,0,0,0,0,0,0,0,,,2,BancaNoAAJI_TM(read); BancaNoAAUI_TM(read),BancaNoAAJI_TM(exec/write/read); BancaNoAAUI_TM(exec/write/read),false,,BancaNoAAJI_TM(read); BancaNoAAUI_TM(read),,
golang-sample,go3/aajiQueries.sql.go,go3/aajiQueries.sql.go@L482,482,482,1,0,0,0,0,0,1,1,0,0,0,0,,,1,BancaMTranAAJIAAUI_TT(exec),BancaMTranAAJIAAUI_TT(exec/write/read x2),false,,BancaMTranAAJIAAUI_TT(exec),,
golang-sample,go3/aajiQueries.sql.go,go3/aajiQueries.sql.go@L493,493,493,1,1,0,0,0,0,0,0,0,0,0,0,,,1,BancaNoAAUI_TM(read),BancaNoAAUI_TM(exec/write/read),false,,BancaNoAAUI_TM(read),,
golang-sample,go3/aajiQueries.sql.go,go3/aajiQueries.sql.go@L525,525,525,1,1,0,0,0,0,0,0,0,0,0,0,,,1,BancaNoAAJI_TM(read),BancaNoAAJI_TM(exec/write/read),false,,BancaNoAAJI_TM(read),,
golang-sample,go3/aajiQueries.sql.go,go3/aajiQueries.sql.go@L557,557,557,1,1,0,0,0,0,0,0,0,0,0,0,,,1,PSEmployee_v(read),PSEmployee_v(exec/write/read),true,SQL_Employee,PSEmployee_v(read),,
golang-sample,go3/aajiQueries.sql.go,go3/aajiQueries.sql.go@L589,589,589,1,0,0,0,0,0,1,1,0,0,0,0,,,1,BancaMTranAAJIAAUI_TT(exec),BancaMTranAAJIAAUI_TT(exec/write/read x2),false,,BancaMTranAAJIAAUI_TT(exec),,
golang-sample,go3/bancaQueries_manual.sql.go,GetBancaControlTableTMLastId,127,127,1,0,0,1,0,0,0,1,0,0,0,0,,,1,BancaControlTable_TM(write),BancaControlTable_TM(exec/write/read),false,,BancaControlTable_TM(write),,
golang-sample,go3/bancaQueries_manual.sql.go,InsertDeleteTT,45,50,2,0,1,0,0,0,0,1,0,0,0,0,,,10,[P] <dynamic-sql>(read); ActionType(write); BancaDelete_TT(write); BatchId(write); DateOtor(write); edData(write); Jenis(write); StatusOtor(write); UserInput(write); UserOtor(write),[P] <dynamic-sql>(exec/write/read); ActionType(exec/write/read); BancaDelete_TT(exec/write/read); BatchId(exec/write/read); DateOtor(exec/write/read); edData(exec/write/read); Jenis(exec/write/read); StatusOtor(exec/write/read); UserInput(exec/write/read); UserOtor(exec/write/read),false,,[P] <dynamic-sql>(read); ActionType(write); BancaDelete_TT(write); BatchId(write); DateOtor(write); +5 others,dynamic-object(1),
golang-sample,go3/bancaQueries_manual.sql.go,go3/bancaQueries_manual.sql.go@L13,13,13,2,0,1,0,0,0,0,1,0,0,0,0,,,10,[P] <dynamic-sql>(read); ActionType(write); BancaDelete_TT(write); BatchId(write); DateOtor(write); edData(write); Jenis(write); StatusOtor(write); UserInput(write); UserOtor(write),[P] <dynamic-sql>(exec/write/read); ActionType(exec/write/read); BancaDelete_TT(exec/write/read); BatchId(exec/write/read); DateOtor(exec/write/read); edData(exec/write/read); Jenis(exec/write/read); StatusOtor(exec/write/read); UserInput(exec/write/read); UserOtor(exec/write/read),false,,[P] <dynamic-sql>(read); ActionType(write); BancaDelete_TT(write); BatchId(write); DateOtor(write); +5 others,dynamic-object(1),
golang-sample,go3/bancaQueries_manual.sql.go,go3/bancaQueries_manual.sql.go@L64,64,64,1,0,0,1,0,0,0,1,0,0,0,0,,,1,BancaControlTable_TM(write),BancaControlTable_TM(exec/write/read),false,,BancaControlTable_TM(write),,
